repo_names,name,react_1,react_3,react_5,react_6,react_7,react_9,react_11,react_12,react_14,react_23,react_26,react_30,react_31,react_36,react_43,react_54,react_59,react_67,react_70,react_72,react_73,react_74,react_78,react_79,react_80,react_81,react_84,react_89,react_94,react_97,react_99,react_101,sustainability_score
localstack/localstack,localstack,True,7,True,True,0,False,0,False,59.61098267622461,0,False,True,1,0,1,4,1,0,True,3.6,True,False,False,1,0.5,True,2.25,True,True,True,1,False,79.9014
meta-llama/llama,llama,True,1,True,False,0,False,0,False,232.67711728395065,0,False,False,1,0,1,3,1,0,False,4.111111111111111,True,False,True,1,0.6000000000000001,True,2.5,True,False,True,0,True,26.2149
zylon-ai/private-gpt,private-gpt,True,1,True,True,0,False,0,True,273.9249587087087,0,False,False,1,0,1,4,1,0,True,4.111111111111111,True,False,False,1,0.4,True,0.0,False,True,True,0,True,30.2527
ageitgey/face_recognition,face_recognition,True,1,False,False,1,False,0,True,2341.8354206349204,0,True,True,1,1,1,3,1,0,False,4.2,True,False,True,1,0.4,True,0.0,False,True,True,0,True,16.062
CorentinJ/Real-Time-Voice-Cloning,Real-Time-Voice-Cloning,False,1,False,False,0,False,0,False,151.662849002849,0,False,False,1,0,1,4,1,0,False,3.642857142857143,False,False,True,1,0.4,True,1.0,False,True,True,0,True,5.7004
deepfakes/faceswap,faceswap,True,1,True,True,1,False,0,True,204.0582626262626,0,True,True,1,0,1,2,1,0,False,3.8,True,False,True,1,0.5,True,0.0,False,True,True,1,True,30.2354
AntonOsika/gpt-engineer,gpt-engineer,True,1,True,True,0,False,0,True,84.40331196581197,0,False,True,1,0,1,4,1,0,True,3.5,False,False,False,1,0.5,True,0.75,True,True,True,1,True,34.7047
ultralytics/yolov5,yolov5,True,1,True,True,0,False,0,True,40.80045299145299,0,False,False,1,0,1,3,1,0,False,3.333333333333333,True,False,False,1,0.5,True,3.5,True,True,True,0,True,37.7356
commaai/openpilot,openpilot,False,4,True,True,1,False,0,True,6.459987228607918,0,False,True,1,0,1,5,1,0,True,3.6,True,False,True,1,0.4,True,1.75,False,True,True,1,False,74.9452
geekan/MetaGPT,MetaGPT,False,3,True,True,0,False,0,True,274.6613229166667,0,True,False,1,0,2,2,1,0,False,3.8,False,True,True,1,0.4,True,0.25,False,True,True,0,False,74.9123
Z4nzu/hackingtool,hackingtool,False,1,True,True,0,False,0,True,871.2475987654321,0,True,True,1,0,0,4,1,0,True,3.615384615384616,False,False,True,1,0.4,True,0.0,False,False,False,1,False,18.3009
langflow-ai/langflow,langflow,True,3,True,True,1,False,0,True,64.04260288065844,0,False,True,1,0,2,4,1,0,True,3.888888888888889,True,False,False,1,0.6000000000000001,True,4.0,True,True,True,0,True,79.9562
Textualize/rich,rich,True,1,False,True,0,False,0,True,677.1015384615384,0,False,True,1,0,1,3,1,0,True,3.857142857142857,True,False,True,1,0.6000000000000001,True,1.25,False,False,True,0,False,44.8322
All-Hands-AI/OpenHands,OpenHands,True,3,True,True,0,False,0,True,17.480983606557377,0,False,True,1,0,1,3,1,0,False,3.7777777777777777,False,False,True,1,0.7000000000000001,True,4.5,True,True,True,0,True,79.9452
xai-org/grok-1,grok-1,True,1,False,False,0,False,0,True,5.434555555555556,0,False,False,1,1,0,3,1,0,False,3.909090909090909,False,False,True,1,0.6000000000000001,True,0.0,False,True,False,0,False,31.9342
charlax/professional-programming,professional-programming,False,1,True,False,0,False,0,True,244.079649122807,0,False,False,1,0,1,5,1,0,True,3.6666666666666665,True,False,False,1,0.6000000000000001,True,0.0,False,False,True,1,True,22.2582
PaddlePaddle/PaddleOCR,PaddleOCR,False,6,True,True,0,False,0,True,49.68232954545454,0,True,False,1,0,1,2,1,0,True,3.636363636363636,False,False,True,1,0.4,True,1.75,False,True,True,1,False,67.6603
Asabeneh/30-Days-Of-Python,30-Days-Of-Python,True,1,False,False,0,False,0,False,97.62126736111112,0,False,False,1,0,0,3,0,0,False,3.571428571428571,False,False,False,0,0.4,True,0.0,False,False,True,0,False,15.6474
browser-use/browser-use,browser-use,False,2,True,False,0,False,0,True,15.738824786324786,0,False,False,1,0,1,3,1,0,True,3.2,False,False,False,1,0.4,True,1.75,False,True,True,0,False,57.6862
hacksider/Deep-Live-Cam,Deep-Live-Cam,False,1,True,True,0,False,0,True,19.877037037037034,0,False,False,1,0,1,4,1,0,True,4.0,False,False,False,1,0.5,True,0.0,False,True,True,1,False,29.0049
hiyouga/LLaMA-Factory,LLaMA-Factory,True,1,True,True,0,False,0,True,5.806404494382022,0,True,True,1,0,1,3,1,0,True,3.454545454545454,True,False,True,1,0.4,True,1.75,False,False,True,1,False,73.4014
lllyasviel/Fooocus,Fooocus,True,2,True,True,0,False,0,True,6.821977401129944,0,False,True,1,0,0,2,0,0,False,3.294117647058824,True,False,True,0,0.4,True,0.0,False,False,True,1,True,22.7037
oobabooga/text-generation-webui,text-generation-webui,False,2,True,True,0,False,0,True,134.7579466230937,0,False,False,1,0,1,4,1,0,True,4.666666666666666,True,True,True,1,0.4,True,0.0,False,False,True,0,True,59.9024
