repo_names,name,react_1,react_3,react_5,react_6,react_7,react_9,react_11,react_12,react_14,react_23,react_26,react_30,react_31,react_36,react_43,react_54,react_59,react_67,react_70,react_72,react_73,react_74,react_78,react_79,react_80,react_81,react_84,react_89,react_94,react_97,react_99,react_101,sustainability_score
sherlock-project/sherlock,sherlock,False,0.0,True,False,0.3333333333333333,False,0,True,0.22289678531271712,False,False,True,True,0.0,0.0,0.8,True,0,False,0.8839285714285715,True,False,False,True,0.0,True,0.0,False,False,True,True,True,54.8356
keras-team/keras,keras,False,0.0,True,True,0.0,False,0,True,0.030534389862615936,False,False,True,True,0.0,1.0,0.6,True,0,False,0.9642857142857144,True,False,True,True,0.625,True,0.6842105263157895,True,True,True,True,False,79.8466
Alvin9999/new-pac,new-pac,False,0.0,False,True,0.0,False,0,False,0.0,False,False,True,True,0.0,0.0,0.0,True,0,True,0.8571428571428572,True,False,True,True,0.25,True,0.21052631578947367,False,False,False,True,False,48.6557
labmlai/annotated_deep_learning_paper_implementations,annotated_deep_learning_paper_implementations,False,0.0,True,True,0.0,False,0,True,0.08940108487024356,False,False,False,True,0.0,0.0,0.6,True,0,False,0.7500000000000001,False,False,False,True,0.5,True,0.0,False,False,True,True,False,44.2589
OpenInterpreter/open-interpreter,open-interpreter,False,0.0,True,True,0.0,False,0,True,0.04106350436899257,False,False,True,True,0.0,1.0,0.8,True,0,False,0.642857142857143,False,False,False,True,0.5,True,0.2631578947368421,False,True,True,False,False,44.594
localstack/localstack,localstack,True,0.8571428571428571,True,True,0.0,False,0,False,0.025046080142308132,False,False,True,True,0.0,0.5,0.8,True,0,True,0.7714285714285716,True,False,False,True,0.625,True,0.47368421052631576,True,True,True,True,False,79.9014
meta-llama/llama,llama,True,0.0,True,False,0.0,False,0,False,0.09776134304693103,False,False,False,True,0.0,0.5,0.6,True,0,False,0.8809523809523809,True,False,True,True,0.7500000000000001,True,0.5263157894736842,True,False,True,False,True,26.2149
zylon-ai/private-gpt,private-gpt,True,0.0,True,True,0.0,False,0,True,0.11509198742890579,False,False,False,True,0.0,0.5,0.8,True,0,True,0.8809523809523809,True,False,False,True,0.5,True,0.0,False,True,True,False,True,30.2527
ageitgey/face_recognition,face_recognition,True,0.0,False,False,0.3333333333333333,False,0,True,0.9839428070477307,False,True,True,True,1.0,0.5,0.6,True,0,False,0.9000000000000001,True,False,True,True,0.5,True,0.0,False,True,True,False,True,16.062
CorentinJ/Real-Time-Voice-Cloning,Real-Time-Voice-Cloning,False,0.0,False,False,0.0,False,0,False,0.06372248368002763,False,False,False,True,0.0,0.5,0.8,True,0,False,0.7806122448979592,False,False,True,True,0.5,True,0.21052631578947367,False,True,True,False,True,5.7004
deepfakes/faceswap,faceswap,True,0.0,True,True,0.3333333333333333,False,0,True,0.08573687884323304,False,True,True,True,0.0,0.5,0.4,True,0,False,0.8142857142857144,True,False,True,True,0.625,True,0.0,False,True,True,True,True,30.2354
AntonOsika/gpt-engineer,gpt-engineer,True,0.0,True,True,0.0,False,0,True,0.03546279596251486,False,False,True,True,0.0,0.5,0.8,True,0,True,0.7500000000000001,False,False,False,True,0.625,True,0.15789473684210525,True,True,True,True,True,34.7047
ultralytics/yolov5,yolov5,True,0.0,True,True,0.0,False,0,True,0.01714267018574047,False,False,False,True,0.0,0.5,0.6,True,0,False,0.7142857142857143,True,False,False,True,0.625,True,0.7368421052631579,True,True,True,False,True,37.7356
commaai/openpilot,openpilot,False,0.42857142857142855,True,True,0.3333333333333333,False,0,True,0.0027142206114064375,False,False,True,True,0.0,0.5,1.0,True,0,True,0.7714285714285716,True,False,True,True,0.5,True,0.3684210526315789,False,True,True,True,False,74.9452
geekan/MetaGPT,MetaGPT,False,0.2857142857142857,True,True,0.0,False,0,True,0.11540137734563667,False,True,False,True,0.0,1.0,0.4,True,0,False,0.8142857142857144,False,True,True,True,0.5,True,0.05263157894736842,False,True,True,False,False,74.9123
Z4nzu/hackingtool,hackingtool,False,0.0,True,True,0.0,False,0,True,0.36606236305471623,False,True,True,True,0.0,0.0,0.8,True,0,True,0.774725274725275,False,False,True,True,0.5,True,0.0,False,False,False,True,False,18.3009
langflow-ai/langflow,langflow,True,0.2857142857142857,True,True,0.3333333333333333,False,0,True,0.026908064458241763,False,False,True,True,0.0,1.0,0.8,True,0,True,0.8333333333333335,True,False,False,True,0.7500000000000001,True,0.8421052631578947,True,True,True,False,True,79.9562
Textualize/rich,rich,True,0.0,False,True,0.0,False,0,True,0.2844901834431877,False,False,True,True,0.0,0.5,0.6,True,0,True,0.8265306122448981,True,False,True,True,0.7500000000000001,True,0.2631578947368421,False,False,True,False,False,44.8322
All-Hands-AI/OpenHands,OpenHands,True,0.2857142857142857,True,True,0.0,False,0,True,0.0073447894451643715,False,False,True,True,0.0,0.5,0.6,True,0,False,0.8095238095238096,False,False,True,True,0.875,True,0.9473684210526315,True,True,True,False,True,79.9452
xai-org/grok-1,grok-1,True,0.0,False,False,0.0,False,0,True,0.002283376449631294,False,False,False,True,1.0,0.0,0.6,True,0,False,0.8376623376623378,False,False,True,True,0.7500000000000001,True,0.0,False,True,False,False,False,31.9342
charlax/professional-programming,professional-programming,False,0.0,True,False,0.0,False,0,True,0.10255221736974472,False,False,False,True,0.0,0.5,1.0,True,0,True,0.7857142857142858,True,False,False,True,0.7500000000000001,True,0.0,False,False,True,True,True,22.2582
PaddlePaddle/PaddleOCR,PaddleOCR,False,0.7142857142857143,True,True,0.0,False,0,True,0.020874468958357168,False,True,False,True,0.0,0.5,0.4,True,0,True,0.7792207792207791,False,False,True,True,0.5,True,0.3684210526315789,False,True,True,True,False,67.6603
Asabeneh/30-Days-Of-Python,30-Days-Of-Python,True,0.0,False,False,0.0,False,0,False,0.04101643650466544,False,False,False,True,0.0,0.0,0.6,False,0,False,0.7653061224489797,False,False,False,False,0.5,True,0.0,False,False,True,False,False,15.6474
browser-use/browser-use,browser-use,False,0.14285714285714285,True,False,0.0,False,0,True,0.006612806050943667,False,False,False,True,0.0,0.5,0.6,True,0,True,0.6857142857142858,False,False,False,True,0.5,True,0.3684210526315789,False,True,True,False,False,57.6862
hacksider/Deep-Live-Cam,Deep-Live-Cam,False,0.0,True,True,0.0,False,0,True,0.008351512427253058,False,False,False,True,0.0,0.5,0.8,True,0,True,0.8571428571428572,False,False,False,True,0.625,True,0.0,False,True,True,True,False,29.0049
hiyouga/LLaMA-Factory,LLaMA-Factory,True,0.0,True,True,0.0,False,0,True,0.0024396120609995074,False,True,True,True,0.0,0.5,0.6,True,0,True,0.7402597402597403,True,False,True,True,0.5,True,0.3684210526315789,False,False,True,True,False,73.4014
lllyasviel/Fooocus,Fooocus,True,0.14285714285714285,True,True,0.0,False,0,True,0.002866313975157186,False,False,True,True,0.0,0.0,0.4,False,0,False,0.7058823529411766,True,False,True,False,0.5,True,0.0,False,False,True,True,True,22.7037
oobabooga/text-generation-webui,text-generation-webui,False,0.14285714285714285,True,True,0.0,False,0,True,0.05661973984336015,False,False,False,True,0.0,0.5,0.8,True,0,True,1.0,True,True,True,True,0.5,True,0.0,False,False,True,False,True,59.9024
RVC-Boss/GPT-SoVITS,GPT-SoVITS,True,0.2857142857142857,True,False,0.0,False,0,True,0.028298625484036572,False,False,False,True,0.0,0.5,0.6,True,0,False,0.7714285714285716,False,False,True,True,0.5,True,0.15789473684210525,False,False,True,False,True,60.2342
vllm-project/vllm,vllm,True,0.2857142857142857,True,True,0.3333333333333333,False,0,True,0.00427223079471327,False,False,True,True,0.0,0.5,0.6,True,0,False,0.8571428571428572,False,False,False,True,0.7500000000000001,True,0.8421052631578947,True,True,True,False,False,79.9781
microsoft/autogen,autogen,True,0.42857142857142855,True,True,0.0,False,0,False,0.010143275824928489,False,False,True,True,0.0,1.0,0.6,True,0,True,0.8571428571428572,True,False,True,True,0.875,True,0.7368421052631579,False,False,True,True,False,79.9452
THUDM/ChatGLM-6B,ChatGLM-6B,False,0.0,True,False,0.0,False,0,True,0.011830957816340292,False,False,False,True,0.0,0.5,0.2,True,0,False,0.830357142857143,False,False,False,True,0.5,True,0.0,False,False,True,False,False,27.7349
hpcaitech/ColossalAI,ColossalAI,False,0.2857142857142857,True,True,0.3333333333333333,False,0,True,0.07154814519888518,False,True,True,True,0.0,0.5,0.4,True,0,True,0.6734693877551022,True,False,True,True,0.7500000000000001,True,0.5263157894736842,False,False,True,True,False,64.5527
Stability-AI/stablediffusion,stablediffusion,False,0.0,False,False,0.0,False,0,True,0.041186995536164527,False,False,False,True,1.0,0.5,0.6,True,0,True,0.7959183673469388,False,False,False,True,0.5,True,0.21052631578947367,False,False,True,False,True,23.4535
mingrammer/diagrams,diagrams,True,0.14285714285714285,True,True,0.0,False,0,True,0.5240481910358837,False,True,True,True,0.0,0.5,0.8,True,0,False,0.7678571428571429,True,True,True,True,0.7500000000000001,True,0.3157894736842105,False,True,True,True,False,59.0524
apachecn/ailearning,ailearning,False,0.14285714285714285,True,True,0.0,False,0,False,0.013506877085482089,False,False,False,True,0.0,0.5,0.6,True,0,True,0.6428571428571429,False,False,True,True,0.25,True,0.0,False,True,True,True,False,15.9876
microsoft/markitdown,markitdown,True,0.0,True,True,0.0,False,0,True,0.04109500360833365,False,True,True,True,0.0,1.0,0.6,True,0,False,0.6428571428571429,True,False,True,True,0.625,True,0.21052631578947367,False,True,True,True,False,67.8247
run-llama/llama_index,llama_index,True,0.14285714285714285,True,False,0.0,False,0,True,0.010837807742051132,False,True,True,True,0.0,0.5,0.8,True,0,True,0.7500000000000001,True,False,True,True,0.875,True,0.5263157894736842,True,True,True,True,True,79.9671
psf/black,black,True,0.0,True,True,0.0,False,0,True,0.05874567994109181,False,True,True,True,0.0,0.5,0.6,True,0,True,0.5785714285714287,False,False,True,True,0.625,True,0.7368421052631579,True,True,True,True,True,65.4619
apache/airflow,airflow,True,0.5714285714285714,True,True,0.3333333333333333,False,0,True,0.004069689955706483,False,True,True,True,0.0,1.0,0.8,True,0,False,0.8357142857142859,True,False,True,True,0.625,True,0.2631578947368421,False,True,True,False,True,79.9671
chubin/cheat.sh,cheat.sh,False,0.14285714285714285,True,False,0.0,False,0,True,0.2164307647050275,False,True,True,True,0.0,0.5,0.8,True,0,False,0.8877551020408163,True,False,False,True,0.625,True,0.05263157894736842,False,True,True,False,True,17.2368
floodsung/Deep-Learning-Papers-Reading-Roadmap,Deep-Learning-Papers-Reading-Roadmap,True,0.0,True,False,0.0,False,0,False,1.0,False,False,False,True,1.0,0.5,0.8,True,0,True,0.7901785714285715,True,True,True,True,0.5,True,0.0,False,False,True,False,False,3.2422
coqui-ai/TTS,TTS,True,0.0,False,True,0.3333333333333333,False,0,False,0.022405369785334413,False,True,False,True,1.0,0.5,0.8,True,0,False,0.6964285714285715,False,False,True,True,0.875,True,0.5263157894736842,True,True,True,True,False,39.3529
streamlit/streamlit,streamlit,True,0.2857142857142857,True,True,0.3333333333333333,False,0,True,0.009921149268497567,False,False,True,True,0.0,0.5,0.8,True,0,True,0.8333333333333335,True,False,True,True,0.875,True,0.6842105263157895,False,True,True,False,True,79.9562
lm-sys/FastChat,FastChat,True,0.0,True,True,0.3333333333333333,False,0,True,0.07695710114787027,False,False,True,True,0.0,0.5,0.8,True,0,False,0.792857142857143,False,False,False,True,0.5,True,0.2631578947368421,False,False,True,False,True,40.0416
LC044/WeChatMsg,WeChatMsg,True,0.0,True,False,0.0,False,0,True,0.00332306660304692,False,False,False,False,0.0,0.0,0.2,False,0,False,0.7380952380952381,False,False,True,False,0.25,True,0.0,False,False,True,True,False,22.2365
ultralytics/ultralytics,ultralytics,True,0.0,True,True,0.0,False,0,True,0.007845983205894254,False,False,True,True,0.0,0.5,0.6,True,0,True,0.7285714285714286,True,False,True,True,0.7500000000000001,True,0.5263157894736842,False,False,True,False,True,79.9233
QuivrHQ/quivr,quivr,True,0.0,True,True,0.0,False,0,False,0.016320287124088464,False,False,False,True,0.0,0.5,0.8,True,0,True,0.8736263736263736,True,False,False,True,0.5,True,0.0,False,True,True,False,False,65.6463
deepspeedai/DeepSpeed,DeepSpeed,True,0.2857142857142857,True,True,0.6666666666666666,False,0,True,0.0407949677846443,False,True,True,True,0.0,0.5,0.4,True,0,True,0.8736263736263739,True,False,True,True,1.0,True,0.0,False,False,True,True,False,79.7479
freqtrade/freqtrade,freqtrade,True,0.0,True,True,0.3333333333333333,True,0,True,0.0024169098638583634,False,False,True,True,0.0,1.0,0.8,True,0,True,0.7040816326530613,False,False,True,True,0.7500000000000001,True,0.5789473684210527,True,False,True,True,True,79.9233
LAION-AI/Open-Assistant,Open-Assistant,False,0.2857142857142857,True,True,0.0,False,0,True,0.0264908229755292,False,True,False,True,1.0,1.0,0.8,True,0,True,0.826530612244898,True,False,True,True,0.7500000000000001,True,0.7894736842105263,False,True,True,True,True,38.6033
gto76/python-cheatsheet,python-cheatsheet,False,0.14285714285714285,True,True,0.0,False,0,False,0.05155997300312853,False,False,False,False,0.0,0.5,0.6,True,0,False,0.6857142857142858,False,False,False,True,0.5,True,0.0,False,False,True,True,False,34.9098
OpenBB-finance/OpenBB,OpenBB,True,0.0,True,True,0.3333333333333333,False,0,False,0.04084388528493401,False,True,True,True,0.0,0.5,0.6,True,0,False,0.9642857142857144,True,False,True,True,0.625,True,0.0,False,True,True,True,True,72.1603
gradio-app/gradio,gradio,True,0.2857142857142857,True,True,0.3333333333333333,True,0,True,0.015845914666138067,False,False,True,True,0.0,1.0,0.6,True,0,False,0.9000000000000001,True,False,True,True,0.875,True,0.5789473684210527,True,False,True,True,False,79.9123
0voice/interview_internal_reference,interview_internal_reference,False,0.0,True,False,0.0,False,0,False,0.05448024019746132,False,False,False,False,0.0,0.5,0.4,True,0,False,0.0,False,False,False,True,0.5,True,0.0,False,False,False,True,False,23.0596
TencentARC/GFPGAN,GFPGAN,True,0.0,False,True,0.0,False,0,False,0.27367874223123007,False,False,True,True,0.0,0.5,0.6,True,0,False,0.792857142857143,True,False,True,True,0.7500000000000001,True,0.0,True,True,True,False,False,12.6163
satwikkansal/wtfpython,wtfpython,False,0.0,True,True,0.0,False,0,False,0.18707760892591757,False,False,True,True,0.0,0.5,0.8,True,0,True,0.8571428571428572,True,False,False,True,0.625,True,0.3157894736842105,False,True,True,True,True,21.9611
ray-project/ray,ray,True,0.7142857142857143,True,True,1.0,False,0,True,0.00811231416308698,False,False,True,True,0.0,0.0,0.4,False,0,True,0.8785714285714286,True,True,True,False,0.0,True,0.0,False,False,True,False,True,79.9562
babysor/MockingBird,MockingBird,True,0.0,True,False,0.0,False,0,False,0.2548670247147661,False,False,False,True,0.0,0.5,0.4,True,0,False,0.7714285714285717,True,False,True,True,0.625,True,0.15789473684210525,True,False,True,False,False,16.272
XingangPan/DragGAN,DragGAN,False,0.14285714285714285,True,False,0.0,False,0,False,0.064275591543974,False,False,False,True,1.0,0.5,0.6,True,0,False,0.7714285714285716,False,False,True,True,0.5,True,0.0,False,False,True,False,False,15.4749
zhayujie/chatgpt-on-wechat,chatgpt-on-wechat,False,0.0,True,True,0.0,False,0,True,0.060357906582220414,False,False,True,True,0.0,0.5,0.2,True,0,False,0.8333333333333335,False,False,False,True,0.5,True,0.0,False,True,True,True,False,37.9282
openai/gym,gym,True,0.0,False,False,0.0,False,0,False,0.038746649566869615,False,True,True,True,1.0,0.5,0.6,True,0,False,0.7767857142857144,False,False,True,True,0.625,True,0.3157894736842105,False,True,True,False,True,38.5627
